batch,gender,hostel,numRoomsAdded
btech21,male,kalam a,264
btech21,male,kalam b,138
btech22,male,kalam c,147
btech22,male,kalam d,69
btech23,male,aryabhatta a,234
btech23,male,aryabhatta b,44
msc23,male,aryabhatta b,31
mtech23,male,kalam d,261
phd14,male,kalam d,261
phd16,male,kalam d,261
phd17,male,kalam d,261
phd18,male,kalam d,261
phd19,male,kalam d,261
phd20,male,kalam d,261
phd21,male,aryabhatta b,74
phd22,male,aryabhatta b,34
phd23,male,aryabhatta b,23
btech21,female,asima c,288
btech21,female,asima d,288
btech22,female,asima b,288
btech22,female,asima c,288
btech22,female,asima d,288
btech23,female,asima a,288
btech23,female,asima b,288
msc23,female,aryabhatta c,288
mtech23,female,aryabhatta c,288
phd17,female,aryabhatta c,288
phd18,female,aryabhatta c,288
phd19,female,aryabhatta c,288
phd20,female,aryabhatta c,288
phd21,female,asima a,288
phd21,female,asima b,288
phd21,female,asima c,288
phd21,female,asima d,288
phd22,female,asima a,288
phd22,female,asima b,288
phd22,female,asima c,288
phd22,female,asima d,288
phd23,female,asima a,288
phd23,female,asima b,288
phd23,female,asima c,288
phd23,female,asima d,288
jrf,any,aryabhatta d,28
